price,location,features,expensas,disposition,seniority,description,url
USD 75.000,"Caballito, Capital Federal","['7 un.', '1 a 2 amb.', '30 a 53 m² tot.', 'Parrilla', 'Solarium', 'Balcón']",,Frente,,"Bogota 883 se encuentra en una zona residencial de Caballito. Es uno de los barrios más emblemáticos de Buenos Aires cuenta con inmejorables arterias de conexión, cercano a variadas opciones comercial",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-bogota-883-56949783.html?n_src=Listado&n_pg=2&n_pos=12
USD 123.000,"Monserrat, Capital Federal","['38 m² tot.', '1 amb.', '1 baño']",,Frente,,"Edificio de gran categoría, con muy buenas terminaciones y local en pb. full amenities: pisicina, sum, parrillas, gym. Excelente ubicación en calle Venezeula 964, entre 9 de Julio y Tacuari. A metros ",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-monserrat-55416215.html?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=13
USD 265.000,"Belgrano, Capital Federal","['91 m² tot.', '3 amb.', '2 dorm.', '2 baños', '1 coch.']",$ 490.000 Expensas,Frente,,"Luminoso departamento en 6° piso contrafrente reciclado a nuevo en baños, cocina, instalación eléctrica y de servicios ( agua y cloacales) Excelente ubicación: A 2 cuadras de Av. Cabildo y Juramento, ",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-belgrano-3-ambientes-con-57109827.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=2&n_pos=14
USD 649.000,"Belgrano, Capital Federal","['249 m² tot.', '5 amb.', '3 dorm.', '3 baños', '2 coch.']",$ 1.000.000 Expensas,Frente,,"Corredor Responsable: Silvia Vergara cpi 7783 / cmcpsi 6672- Contacto: Loli Arazi. nuevo valor, se escuchan ofertas. amplio departamento semipiso de 5 ambientes con escritorio con dos espacios guardac",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-5-amb-venta-belgrano-torre-2-coch-amenities-57890128.html?n_src=Listado&n_pills=Encargado&n_pg=2&n_pos=15
USD 465.000,"Núñez, Capital Federal","['11 un.', '3 a 5 amb.', '90 a 360 m² tot.', 'Gimnasio', 'Parrilla', 'Pileta', 'Solarium', 'Balcón', 'Balcón', 'Terraza', 'Terraza', 'Terraza']",,,,"El proyecto mas exclusivo de Nuñez2 torres de categoria, 42 pisos Torre Libertador y 33 pisos torre Arribeñoscomparten 4 subsuelos de cocheras y 3 pisos de amenities de lujo y confort como un hotel 5 ",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-quantum-bellini-56473772.html?n_src=Listado&n_pg=2&n_pos=16
USD 178.000,"Recoleta, Capital Federal","['76 m² tot.', '3 amb.', '2 dorm.', '2 baños']",$ 207.000 Expensas,Frente,,"Departamento de 3 ambientes con distribución flexible, adaptable a distintos usos. Unidad lista para ingresar o generar renta inmediata. Buena aislación y dvh en parte de la propiedad. •Balcón aterraz",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes-recoleta-balcon-57685202.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=2&n_pos=17
USD 148.000,"Belgrano, Capital Federal","['45 m² tot.', '1 amb.', '1 baño']",,Frente,,"Corredor Responsable: Ariel Champanier cucicba 4330 / Andrea Berré cmcpsi 6763- Contacto: Cesar Rosenstein.. Departamento monoambiente en venta en Aurea Belgrano, torre premium en el barrio de Belgran",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-en-venta-en-belgrano-con-amenities-57929204.html?n_src=Listado&n_pills=Pileta&n_pg=2&n_pos=18
USD 890.000,"Recoleta, Capital Federal","['293 m² tot.', '5 amb.', '3 dorm.', '2 baños', '2 coch.']",$ 1.150.000 Expensas,,,"Piso ubicado en la calle Arroyo, rodeada de edificios de categoría, galerías de arte y cafés. El departamento se encuentra en un piso alto, lo que permite disfrutar de una vista maravillosa de la ciud",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-excelente-departamento-sobre-calle-arroyo-al-800-57829978.html?n_src=Listado&n_pills=Encargado&n_pg=2&n_pos=19
USD 152.000,"Villa Urquiza, Capital Federal","['8 un.', '1 a 5 amb.', '53 a 269 m² tot.', 'Gimnasio', 'Pileta', 'Parrilla', 'Balcón', 'Terraza', 'Solarium']",,Frente,,"Viví la experiencia de tu nuevo hogar en el corazón de Villa Urquiza, frente a la plaza Zapiola. Un proyecto exclusivo que combina diseño moderno, amplitud y la calidez de una casa con la comodidad de",https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-exclusivos-departamentos-de-1-3-4-y-5-ambientes-en-57365735.html?n_src=Listado&n_pg=2&n_pos=20
USD 255.000,"Recoleta, Capital Federal","['124 m² tot.', '4 amb.', '3 dorm.', '2 baños']",$ 550.000 Expensas,,,Elegante departamento en venta en Recoleta. Edificio clásico. Increible ubicacion: A 2 cuadras de 9 de Julio y a 2 de Santa feReciclado a nuevo con detalles de categoria. Techos altos! Tiene 3 dormito,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-4-ambientes-actualizado-a-57599363.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=2&n_pos=21
USD 110.000,"Belgrano R, Belgrano","['53 m² tot.', '3 amb.', '2 dorm.', '1 baño']",$ 100.000 Expensas,,,"Departamento 3 ambientes, interno segundo piso por escalera, luminoso ventilado, living comedor con ventanal, habitaciones funcionales, piso madera, cocina independiente, con lavadero independiente, b",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-belgrano-r-capital-federal-57146133.html?n_src=Listado&n_pg=2&n_pos=22
USD 315.000,"Las Cañitas, Palermo","['126 m² tot.', '4 amb.', '3 dorm.', '1 baño', '1 coch.']",$ 540.000 Expensas,,50 años,[mel-Ver datos] 4 ambientes con espacio guarda coche asignado - apto crédito. Estupendo departamento de 3 ambientes (con posibilidad de un 3er dormitorio) Semi-piso luminoso y con orientación norte ti,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-3-ambientes-luminoso-con-cochera-en-las-canitas-apto-57903831.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=2&n_pos=23
USD 159.000,"Villa Luro, Capital Federal","['92 m² tot.', '3 amb.', '2 dorm.', '2 baños']",$ 100.000 Expensas,Frente,,"El equilibrio perfecto entre amplitud, luz natural y vida urbana. Villa Luro - Pola al 100, entre Caaguazú y Ramón FalcónTe presentamos un departamento de 3 ambientes que rompe con lo convencional: 92",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-tres-ambientes-balcon-57006889.html?n_src=Listado&n_pills=Luminoso&n_pg=2&n_pos=24
USD 119.900,"Villa Crespo, Capital Federal","['65 m² tot.', '2 amb.', '1 dorm.', '2 baños']",$ 65.000 Expensas,Frente,,"¡¡2 ambientes con dependencia en venta, en villa crespo!! ¡¡ingresamos por hall de entrada el cual nos dirige al amplio living comedor, super luminoso Y cómodo dormitorio principal con placard empotra",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin--comodo-2-amb-con-dependencia-en-exc-ubicacion!-54748604.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=2&n_pos=25
USD 195.000,"Palermo, Capital Federal","['76 m² tot.', '1 amb.', '1 dorm.', '1 baño']",$ 305.000 Expensas,,,"Departamento tipo loft en pleno Palermo nuevo, en la esquina de Salguero y Cabello, a tan solo 200mts de Av. Libertador y Parque Las Heras. Amplio living/estar con salida a balcón aterrazado. Cuenta c",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-tipo-loft-con-terraza-en-venta-en-palermo-56869458.html?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=26
USD 249.000,"Caballito, Capital Federal","['101 m² tot.', '3 amb.', '2 dorm.', '1 baño']",$ 190.000 Expensas,Frente,,"_ Departamento de un dormitorio en venta ubicado sobre calle Pergamino entre Coronel Ramón L. Falcón y Avenida Juan Bautista Alberdi (Mar del Plata, Buenos Aires). Desarrollado en piso alto por ascens",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-2-dorm.-2-banos-caballito-57358551.html?n_src=Listado&n_pills=Luminoso&n_pg=2&n_pos=27
USD 50.000,"Villa Pueyrredón, Capital Federal","['28 m² tot.', '1 amb.', '1 baño']",$ 70.000 Expensas,,,Departamento monoambiente venta Villa Pueyrredón. Monoambiente a estrenar. Cocina con gas natural. Estufa tiro balanceado. Baño completo. Muy luminoso. Balcón semicubierto.,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-monoambiente-venta-villa-pueyrredon-47195114.html?n_src=Listado&n_pg=2&n_pos=28
USD 155.000,"Chacarita, Capital Federal","['79 m² tot.', '4 amb.', '3 dorm.', '1 baño']",$ 150.000 Expensas,Frente,,Propiedad apto credito venta de semipiso en chacarita - 4 to. Piso al frente super luminoso en todos sus ambientes estado de conservacion muy bueno puerta blindadapiso de parquet en excelente estado e,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-4-amb-en-venta-al-frente-57825338.html?n_src=Listado&n_pills=Terraza&n_pg=2&n_pos=29
USD 119.000,"Villa Urquiza, Capital Federal","['43 m² tot.', '2 amb.', '1 dorm.', '1 baño']",$ 175.000 Expensas,,50 años,[mel-Ver datos] Departamento de dos ambientes en edificio torre con vigilancia y vista abierta. La propiedad se ubica a tan solo 4 cuadras de la estación de tren Urquiza y de la estación de subte Juan,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-en-venta-con-seguridad.-luminoso-villa-57806370.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=2&n_pos=30
